sessionId,operatorId,scenarioId,sequencePosition,previousAction,expectedAction,responseSeconds,pauseSeconds,duplicateCount,actionValue,valveL1,feedFlow,pressureK1,pressureK2,levelK1,levelK2,temperatureFurnace,gasPercent,saltMgL,waterAfterElou,powerOk,instrumentAirOk,coolingWaterOk,ventElouOk,riskId,candidateAction,willError,riskClass,riskScore,predictedErrorLabel
synthetic-00185,operator-01,SC-05,2,open-L1,protect-K2,18.69,24.8,0,35.0,98.1,542.7,2.69,0.77,68.8,59.4,343.1,9.1,4.93,0.061,True,True,True,True,risk-003459,protect-K2,0,LOW,2,NORMAL
synthetic-00577,operator-21,SC-10,7,open-L1,set-fuel-45,26.6,13.18,0,85.4,99.8,215.7,2.32,0.58,49.1,57.6,394.8,7.2,3.56,0.049,True,True,True,True,risk-000236,set-fuel,1,MEDIUM,68,PARAMETER_ERROR
synthetic-00742,operator-09,SC-12,4,check-alarm,restore-utility-or-prepare-equipment,27.98,7.02,0,43.1,81.9,771.0,2.62,0.37,56.5,65.4,322.9,0.2,3.02,0.075,True,True,True,True,risk-002606,start-N2,1,MEDIUM,69,EQUIPMENT_NOT_READY
synthetic-00431,operator-21,SC-12,8,alarm-K1-high,restore-cooling,92.59,112.27,0,22.9,100.0,797.1,4.21,0.36,35.0,46.6,347.2,11.9,2.29,0.081,True,True,False,True,risk-003070,set-fuel,1,HIGH,82,RESPONSE_TIME_ERROR
synthetic-00303,operator-01,SC-08,9,check-alarm,open-L1,11.3,9.24,0,33.9,29.0,46.5,2.28,0.43,49.8,37.0,341.3,7.5,3.95,0.093,True,True,True,True,risk-009436,start-N1,1,MEDIUM,60,SEQUENCE_ERROR
synthetic-00482,operator-24,SC-05,6,toggle-electric-field,check-process-state,12.38,0.33,4,24.6,97.6,460.5,2.06,0.5,45.3,58.1,348.4,0.3,3.16,0.138,True,True,True,True,risk-008236,toggle-electric-field,1,MEDIUM,36,DUPLICATE_COMMAND
synthetic-00505,operator-12,SC-01,9,start-N1,check-process-state,23.59,1.87,5,42.3,95.7,583.3,2.87,0.54,58.3,36.3,310.3,7.8,2.47,0.069,True,True,True,True,risk-009122,start-N1,1,MEDIUM,52,DUPLICATE_COMMAND
synthetic-00514,operator-12,SC-13,3,toggle-electric-field,check-process-state,12.34,0.23,3,48.4,96.3,475.5,2.94,0.64,58.5,71.1,301.7,9.6,3.52,0.109,True,True,True,True,risk-000532,toggle-electric-field,1,MEDIUM,49,DUPLICATE_COMMAND
synthetic-00341,operator-06,SC-06,4,alarm-K1-high,cut-fuel,86.85,101.45,0,35.2,99.4,880.8,4.16,0.76,46.1,67.7,354.3,1.5,4.02,0.095,True,True,False,True,risk-000098,restore-cooling,1,HIGH,79,RESPONSE_TIME_ERROR
synthetic-00201,operator-14,SC-07,7,start-N1,restore-ventilation,10.49,13.36,0,22.9,99.6,574.5,2.46,0.7,44.5,57.4,305.1,9.5,4.67,0.068,True,True,True,True,risk-008460,restore-ventilation,0,LOW,13,NORMAL
synthetic-00480,operator-06,SC-08,5,set-fuel-45,check-process-state,19.79,0.98,3,40.9,99.7,827.1,3.14,0.57,36.7,36.5,318.3,4.1,2.99,0.079,True,True,True,True,risk-006551,set-fuel-45,1,MEDIUM,41,DUPLICATE_COMMAND
synthetic-00319,operator-04,SC-01,5,set-fuel-70,open-L1,7.16,3.3,0,39.4,75.7,68.1,2.0,0.74,61.0,61.2,332.9,0.9,3.85,0.088,True,True,True,True,risk-009401,start-N1,1,HIGH,73,SEQUENCE_ERROR
synthetic-00425,operator-01,SC-14,5,alarm-K1-high,cut-fuel,121.21,109.3,0,29.2,95.4,700.2,4.25,0.43,42.2,54.7,353.5,10.7,4.41,0.118,True,True,False,True,risk-001745,protect-K2,1,HIGH,81,RESPONSE_TIME_ERROR
synthetic-00771,operator-20,SC-10,4,set-fuel-45,protect-K1,10.67,11.69,0,70.3,95.3,589.1,2.21,0.66,9.7,46.3,318.2,11.6,4.59,0.145,True,True,True,True,risk-000485,set-fuel,1,HIGH,85,CRITICAL_OPERATION_ERROR
synthetic-00690,operator-13,SC-08,2,set-fuel-45,restore-utility-or-prepare-equipment,18.89,23.44,0,53.1,98.0,755.2,3.09,0.66,39.6,56.8,305.7,4.9,3.07,0.129,True,False,True,True,risk-009468,start-N2,1,MEDIUM,57,EQUIPMENT_NOT_READY
synthetic-00456,operator-08,SC-07,12,alarm-K1-high,protect-K1,86.87,135.83,0,27.8,97.7,469.3,1.86,0.63,67.0,70.2,314.6,28.2,4.05,0.121,True,True,True,False,risk-009965,protect-K2,1,MEDIUM,61,RESPONSE_TIME_ERROR
synthetic-00036,operator-14,SC-01,6,open-L1,restore-cooling,14.5,17.15,0,34.4,96.3,731.9,1.95,0.42,55.3,41.4,344.9,9.3,3.05,0.141,True,True,True,True,risk-000975,restore-cooling,0,LOW,6,NORMAL
synthetic-00009,operator-08,SC-14,2,open-L1,restore-ventilation,18.16,15.83,0,44.2,99.7,643.0,2.92,0.71,61.6,44.2,327.4,2.9,4.45,0.091,True,True,True,True,risk-000600,restore-ventilation,0,LOW,16,NORMAL
synthetic-00231,operator-11,SC-14,5,set-fuel-70,open-L1,27.02,5.59,0,50.2,37.9,52.4,2.71,0.38,61.8,36.7,344.1,10.7,2.51,0.12,True,True,True,True,risk-006384,start-N1,1,HIGH,81,SEQUENCE_ERROR
synthetic-00218,operator-16,SC-01,8,drain-E1,open-L1,18.11,11.78,0,28.0,84.5,75.8,3.01,0.63,58.6,48.2,345.0,2.8,4.58,0.136,True,True,True,True,risk-001724,start-N1,1,HIGH,76,SEQUENCE_ERROR
synthetic-00253,operator-16,SC-07,12,set-fuel-70,open-L1,16.79,5.65,0,32.9,17.4,265.6,2.49,0.45,36.1,69.9,348.6,3.5,4.4,0.054,True,True,True,True,risk-004167,start-N1,1,MEDIUM,65,SEQUENCE_ERROR
synthetic-00550,operator-14,SC-13,3,open-L1,set-fuel-45,7.48,16.35,0,99.9,97.0,174.4,4.43,0.72,56.0,74.0,413.3,6.7,4.22,0.13,True,True,True,True,risk-007619,set-fuel,1,MEDIUM,61,PARAMETER_ERROR
synthetic-00072,operator-17,SC-10,9,restore-cooling,start-N2,27.66,5.19,0,49.3,98.6,893.5,2.07,0.42,38.0,67.4,304.5,2.8,3.12,0.095,True,True,True,True,risk-001397,start-N2,0,LOW,21,NORMAL
synthetic-00818,operator-06,SC-01,5,set-fuel-45,restore-circulation-and-reduce-fuel,8.71,16.92,0,84.9,99.6,93.6,2.42,0.44,36.2,57.1,393.0,1.0,2.7,0.068,True,True,True,True,risk-006446,set-fuel,1,HIGH,97,CRITICAL_OPERATION_ERROR
synthetic-00280,operator-07,SC-10,3,drain-E1,open-L1,13.45,9.31,0,22.6,33.2,164.8,2.27,0.77,54.2,63.2,319.9,2.1,4.44,0.134,True,True,True,True,risk-003384,start-N1,1,HIGH,71,SEQUENCE_ERROR
synthetic-00099,operator-21,SC-14,10,check-alarm,protect-K2,13.5,22.86,0,42.1,97.5,792.7,3.19,0.56,46.2,67.3,309.6,1.9,2.07,0.13,True,True,True,True,risk-004660,protect-K2,0,LOW,19,NORMAL
synthetic-00701,operator-06,SC-08,5,check-alarm,restore-utility-or-prepare-equipment,23.65,24.94,0,29.5,81.4,556.5,2.32,0.77,64.0,73.6,325.7,10.9,3.23,0.102,True,True,True,True,risk-007267,set-fuel,1,HIGH,81,EQUIPMENT_NOT_READY
synthetic-00457,operator-04,SC-07,8,alarm-K1-high,cut-fuel,65.37,72.6,0,46.3,97.0,855.6,4.25,0.76,37.2,38.7,337.6,1.0,4.05,0.117,True,True,False,True,risk-008321,protect-K1,1,HIGH,72,RESPONSE_TIME_ERROR
synthetic-00784,operator-16,SC-14,10,restore-cooling,protect-K1,14.81,23.67,0,70.5,100.0,710.6,2.9,0.78,8.7,72.6,300.7,7.9,4.25,0.115,True,True,True,True,risk-006567,set-fuel,1,HIGH,84,CRITICAL_OPERATION_ERROR
synthetic-00732,operator-13,SC-08,12,set-fuel-45,restore-utility-or-prepare-equipment,24.2,12.34,0,31.5,95.8,858.8,4.43,0.69,50.9,44.3,353.6,4.6,3.21,0.085,True,True,False,True,risk-005271,start-N1,1,MEDIUM,61,EQUIPMENT_NOT_READY
synthetic-00817,operator-06,SC-01,2,check-alarm,protect-K1,10.23,8.72,0,66.4,100.0,873.0,2.84,0.68,3.1,62.2,333.7,0.8,2.13,0.066,True,True,True,True,risk-008742,set-fuel,1,HIGH,95,CRITICAL_OPERATION_ERROR
synthetic-00650,operator-08,SC-10,1,open-L1,set-fuel-45,4.19,10.54,0,70.7,96.2,284.4,2.0,0.58,58.3,48.2,394.5,8.3,2.43,0.078,True,True,True,True,risk-000341,set-fuel,1,HIGH,78,PARAMETER_ERROR
synthetic-00108,operator-09,SC-08,10,start-N1,restore-cooling,5.47,20.82,0,54.5,98.0,800.8,2.2,0.38,43.0,40.7,333.9,8.2,2.9,0.138,True,True,True,True,risk-005676,restore-cooling,0,LOW,18,NORMAL
synthetic-00133,operator-19,SC-06,6,check-alarm,start-N2,8.19,12.13,0,25.4,97.9,583.6,2.29,0.44,63.0,53.9,320.1,7.1,2.86,0.116,True,True,True,True,risk-007173,start-N2,0,LOW,6,NORMAL
synthetic-00720,operator-06,SC-10,11,set-fuel-45,restore-utility-or-prepare-equipment,4.05,19.01,0,21.9,96.6,652.9,2.03,0.72,55.7,51.5,301.7,11.8,3.88,0.055,True,False,True,True,risk-000187,start-N2,1,MEDIUM,66,EQUIPMENT_NOT_READY
synthetic-00133,operator-19,SC-08,2,start-N1,restore-ventilation,6.67,13.85,0,33.9,98.1,546.3,2.98,0.79,50.4,73.4,323.5,9.7,4.74,0.093,True,True,True,True,risk-008926,restore-ventilation,0,LOW,20,NORMAL
synthetic-00017,operator-15,SC-08,6,open-L1,start-N1,17.36,2.38,0,23.4,99.5,454.6,2.94,0.36,39.2,41.3,327.5,1.2,2.93,0.062,True,True,True,True,risk-007929,start-N1,0,LOW,3,NORMAL
synthetic-00530,operator-10,SC-12,6,restore-cooling,check-process-state,4.98,0.8,5,28.9,99.6,793.8,2.84,0.43,46.7,56.9,335.8,7.9,2.55,0.134,True,True,True,True,risk-006581,restore-cooling,1,MEDIUM,54,DUPLICATE_COMMAND
synthetic-00284,operator-20,SC-12,4,set-fuel-70,open-L1,17.37,13.25,0,38.2,20.5,97.4,3.2,0.54,73.9,68.0,344.6,8.9,2.32,0.069,True,True,True,True,risk-002610,start-N1,1,HIGH,82,SEQUENCE_ERROR
synthetic-00803,operator-07,SC-13,6,restore-cooling,restore-circulation-and-reduce-fuel,7.69,2.8,0,94.9,98.2,121.9,3.19,0.42,65.8,54.9,426.2,11.5,3.62,0.134,True,True,True,True,risk-009407,set-fuel,1,HIGH,89,CRITICAL_OPERATION_ERROR
synthetic-00292,operator-09,SC-13,1,drain-E1,open-L1,5.98,20.65,0,44.9,62.6,273.2,2.0,0.44,39.1,44.6,305.1,0.5,2.0,0.04,True,True,True,True,risk-005181,start-N1,1,HIGH,78,SEQUENCE_ERROR
synthetic-00401,operator-23,SC-07,8,alarm-K1-high,protect-K1,127.31,120.25,0,29.0,96.5,627.8,4.32,0.37,39.1,53.2,346.0,9.7,2.6,0.051,True,True,False,True,risk-005014,protect-K1,1,HIGH,79,RESPONSE_TIME_ERROR
synthetic-00285,operator-03,SC-05,3,drain-E1,open-L1,10.07,5.66,0,43.5,68.8,119.1,3.16,0.39,52.0,45.4,353.8,11.2,3.23,0.093,True,True,True,True,risk-008467,start-N1,1,MEDIUM,67,SEQUENCE_ERROR
synthetic-00627,operator-07,SC-08,6,restore-cooling,set-fuel-45,18.56,6.42,0,76.4,97.8,246.3,1.87,0.64,42.3,52.7,371.8,7.5,4.44,0.078,True,True,True,True,risk-004676,set-fuel,1,HIGH,71,PARAMETER_ERROR
synthetic-00743,operator-07,SC-10,11,open-L1,restore-utility-or-prepare-equipment,22.83,12.17,0,23.1,78.3,628.5,2.3,0.8,35.9,43.6,317.4,2.6,4.78,0.133,True,True,True,True,risk-007087,start-N1,1,MEDIUM,64,EQUIPMENT_NOT_READY
synthetic-00712,operator-23,SC-05,10,start-N1,restore-utility-or-prepare-equipment,12.73,19.02,0,42.7,98.4,557.4,2.78,0.75,47.6,52.2,344.2,11.8,2.08,0.071,False,True,True,True,risk-008143,start-N2,1,MEDIUM,64,EQUIPMENT_NOT_READY
synthetic-00151,operator-04,SC-07,5,start-N1,restore-ventilation,22.37,7.95,0,24.9,98.8,729.1,2.35,0.72,62.4,48.3,327.9,8.3,2.78,0.118,True,True,True,True,risk-005559,restore-ventilation,0,LOW,13,NORMAL
synthetic-00421,operator-03,SC-12,3,alarm-K1-high,restore-cooling,102.36,99.58,0,53.4,98.6,430.0,2.14,0.63,74.5,36.0,312.5,28.3,3.42,0.053,True,True,True,False,risk-006526,protect-K2,1,MEDIUM,64,RESPONSE_TIME_ERROR
synthetic-00166,operator-12,SC-07,10,check-alarm,set-fuel,11.02,24.71,0,45.0,96.2,471.5,3.02,0.71,50.4,37.6,345.9,4.2,2.14,0.14,True,True,True,True,risk-007317,set-fuel,0,LOW,9,NORMAL
synthetic-00590,operator-03,SC-12,3,restore-cooling,set-fuel-45,27.88,7.62,0,72.8,98.0,239.2,1.81,0.73,53.5,59.3,407.5,10.8,2.37,0.103,True,True,True,True,risk-009719,set-fuel,1,HIGH,82,PARAMETER_ERROR
synthetic-00132,operator-19,SC-05,7,open-L1,start-N1,9.63,18.09,0,23.6,99.5,690.9,2.16,0.57,53.6,38.3,315.6,7.0,3.58,0.146,True,True,True,True,risk-009226,start-N1,0,LOW,18,NORMAL
synthetic-00394,operator-17,SC-13,1,alarm-K1-high,protect-K1,82.36,124.96,0,36.2,99.5,464.5,4.56,0.49,59.6,39.3,309.8,4.7,2.22,0.064,True,True,False,True,risk-001934,protect-K1,1,MEDIUM,59,RESPONSE_TIME_ERROR
synthetic-00630,operator-09,SC-07,1,restore-cooling,set-fuel-45,14.24,18.67,0,86.4,99.0,217.1,2.85,0.77,42.9,42.2,392.2,6.1,4.45,0.055,True,True,True,True,risk-001665,set-fuel,1,MEDIUM,59,PARAMETER_ERROR
synthetic-00655,operator-24,SC-06,1,check-alarm,set-fuel-45,18.26,11.17,0,73.1,98.4,243.7,4.78,0.51,38.7,39.3,414.6,6.0,4.57,0.111,True,True,True,True,risk-000716,set-fuel,1,HIGH,70,PARAMETER_ERROR
synthetic-00592,operator-01,SC-14,7,open-L1,set-fuel-45,13.63,4.18,0,79.2,99.7,322.4,4.76,0.65,70.8,47.4,406.9,10.8,4.27,0.066,True,True,True,True,risk-007378,set-fuel,1,HIGH,74,PARAMETER_ERROR
synthetic-00231,operator-10,SC-14,6,set-fuel-70,open-L1,15.35,20.46,0,37.2,26.4,69.4,1.81,0.6,56.3,67.3,311.9,3.9,4.47,0.112,True,True,True,True,risk-002266,start-N1,1,MEDIUM,55,SEQUENCE_ERROR
synthetic-00448,operator-16,SC-01,5,alarm-K1-high,protect-K1,96.75,96.25,0,20.2,96.5,493.3,4.28,0.56,48.5,49.9,342.8,7.9,4.62,0.084,True,True,False,True,risk-005158,set-fuel,1,MEDIUM,63,RESPONSE_TIME_ERROR
synthetic-00817,operator-23,SC-06,7,restore-cooling,protect-K2,25.59,21.95,0,63.0,98.8,585.6,1.92,0.77,67.7,11.2,310.5,11.1,4.78,0.041,True,True,True,True,risk-001685,set-fuel,1,HIGH,88,CRITICAL_OPERATION_ERROR
synthetic-00393,operator-06,SC-12,5,alarm-K1-high,restore-cooling,125.62,137.94,0,54.4,97.6,736.8,4.18,0.8,59.7,48.7,307.8,7.3,3.76,0.126,True,True,False,True,risk-001347,protect-K1,1,MEDIUM,67,RESPONSE_TIME_ERROR
synthetic-00791,operator-05,SC-08,4,check-alarm,restore-circulation-and-reduce-fuel,9.29,9.86,0,99.8,99.3,32.2,2.58,0.67,68.8,68.2,420.3,1.5,2.94,0.135,True,True,True,True,risk-002210,set-fuel,1,HIGH,93,CRITICAL_OPERATION_ERROR
synthetic-00118,operator-04,SC-01,12,start-N1,restore-cooling,16.79,2.89,0,43.3,98.2,498.3,2.46,0.59,66.0,54.2,308.0,4.9,4.33,0.066,True,True,True,True,risk-008524,restore-cooling,0,LOW,23,NORMAL
synthetic-00455,operator-08,SC-12,12,alarm-K1-high,restore-cooling,86.01,149.68,0,28.8,97.5,800.1,2.2,0.63,62.8,43.0,310.1,22.0,2.57,0.11,True,True,True,False,risk-000810,protect-K1,1,HIGH,77,RESPONSE_TIME_ERROR
synthetic-00515,operator-17,SC-07,8,restore-cooling,check-process-state,10.16,2.47,4,54.1,97.8,582.0,2.21,0.42,51.7,71.1,326.1,6.6,4.45,0.044,True,True,True,True,risk-004437,restore-cooling,1,MEDIUM,54,DUPLICATE_COMMAND
synthetic-00637,operator-12,SC-01,1,start-N1,set-fuel-45,11.95,4.97,0,80.0,99.5,269.9,2.77,0.46,57.6,60.3,385.1,8.7,4.78,0.123,True,True,True,True,risk-008734,set-fuel,1,HIGH,71,PARAMETER_ERROR
synthetic-00792,operator-06,SC-01,8,check-alarm,protect-K2,13.09,9.98,0,51.4,96.7,755.8,2.74,0.65,63.3,11.4,306.4,4.3,2.23,0.136,True,True,True,True,risk-005351,set-fuel,1,HIGH,97,CRITICAL_OPERATION_ERROR
synthetic-00581,operator-06,SC-01,10,restore-cooling,set-fuel-45,19.15,17.77,0,84.5,97.0,184.8,2.28,0.45,43.0,66.2,389.2,1.3,3.71,0.053,True,True,True,True,risk-005193,set-fuel,1,MEDIUM,68,PARAMETER_ERROR
synthetic-00564,operator-20,SC-14,7,start-N1,set-fuel-45,22.39,14.46,0,82.5,99.7,196.2,4.61,0.41,42.2,60.7,429.4,0.5,2.1,0.049,True,True,True,True,risk-008073,set-fuel,1,MEDIUM,69,PARAMETER_ERROR
synthetic-00491,operator-08,SC-13,8,set-fuel-45,check-process-state,5.75,2.43,3,20.5,96.9,559.9,2.7,0.45,72.5,69.0,329.2,1.7,4.6,0.149,True,True,True,True,risk-002394,set-fuel-45,1,MEDIUM,41,DUPLICATE_COMMAND
synthetic-00426,operator-11,SC-08,8,alarm-K1-high,protect-K1,61.13,117.54,0,36.1,96.0,533.5,4.23,0.54,64.7,57.0,353.9,5.7,4.45,0.118,True,True,False,True,risk-004990,restore-ventilation,1,HIGH,71,RESPONSE_TIME_ERROR
synthetic-00487,operator-22,SC-01,5,toggle-electric-field,check-process-state,17.8,2.82,2,44.1,95.2,740.4,2.98,0.71,64.1,41.0,351.6,0.8,3.1,0.105,True,True,True,True,risk-005575,toggle-electric-field,1,MEDIUM,44,DUPLICATE_COMMAND
synthetic-00503,operator-15,SC-08,5,restore-cooling,check-process-state,26.53,0.84,2,28.2,100.0,638.2,2.53,0.63,47.1,64.3,306.6,10.3,2.92,0.109,True,True,True,True,risk-000123,restore-cooling,1,MEDIUM,52,DUPLICATE_COMMAND
synthetic-00520,operator-11,SC-08,5,restore-cooling,check-process-state,27.15,1.25,4,32.8,99.8,557.7,3.12,0.48,52.1,54.6,303.7,0.9,3.51,0.11,True,True,True,True,risk-009204,restore-cooling,1,MEDIUM,50,DUPLICATE_COMMAND
synthetic-00249,operator-22,SC-01,6,set-fuel-70,open-L1,20.31,6.81,0,26.0,17.3,79.8,2.08,0.64,69.9,43.5,347.0,4.6,4.51,0.149,True,True,True,True,risk-001546,start-N1,1,HIGH,76,SEQUENCE_ERROR
synthetic-00003,operator-05,SC-06,1,restore-cooling,start-N2,26.53,14.36,0,37.3,99.3,606.9,1.87,0.68,48.9,56.7,340.4,8.3,4.25,0.126,True,True,True,True,risk-006342,start-N2,0,LOW,9,NORMAL
synthetic-00588,operator-18,SC-10,7,restore-cooling,set-fuel-45,12.92,8.18,0,70.6,98.1,164.0,2.76,0.37,68.5,47.2,381.0,10.1,4.91,0.097,True,True,True,True,risk-003546,set-fuel,1,HIGH,71,PARAMETER_ERROR
synthetic-00679,operator-04,SC-10,12,check-alarm,restore-utility-or-prepare-equipment,24.64,20.44,0,49.7,96.9,738.7,2.85,0.52,36.0,56.6,302.2,10.9,3.72,0.087,False,True,True,True,risk-004801,set-fuel,1,MEDIUM,61,EQUIPMENT_NOT_READY
synthetic-00675,operator-06,SC-07,10,check-alarm,restore-utility-or-prepare-equipment,26.82,19.86,0,24.7,95.3,431.8,4.43,0.56,39.5,43.2,341.5,9.8,3.97,0.044,True,True,False,True,risk-005664,start-N1,1,MEDIUM,68,EQUIPMENT_NOT_READY
synthetic-00791,operator-24,SC-01,3,restore-cooling,protect-K2,15.24,3.25,0,67.0,95.9,786.6,3.04,0.52,65.4,6.1,335.8,10.9,3.69,0.082,True,True,True,True,risk-003906,set-fuel,1,HIGH,88,CRITICAL_OPERATION_ERROR
synthetic-00185,operator-21,SC-01,6,check-alarm,start-N2,17.13,16.12,0,22.3,97.6,822.9,3.02,0.75,43.2,50.9,316.7,7.3,4.54,0.108,True,True,True,True,risk-009313,start-N2,0,LOW,21,NORMAL
synthetic-00629,operator-16,SC-13,12,check-alarm,set-fuel-45,5.74,6.31,0,71.8,97.9,210.9,2.99,0.78,54.8,57.0,378.0,6.2,4.2,0.095,True,True,True,True,risk-004783,set-fuel,1,MEDIUM,55,PARAMETER_ERROR
synthetic-00481,operator-12,SC-06,10,set-fuel-45,check-process-state,22.06,2.12,2,43.1,98.6,807.5,1.98,0.62,47.1,37.7,320.3,0.3,4.49,0.088,True,True,True,True,risk-004285,set-fuel-45,1,MEDIUM,48,DUPLICATE_COMMAND
synthetic-00803,operator-05,SC-10,9,open-L1,restore-circulation-and-reduce-fuel,26.46,23.11,0,79.1,95.7,6.7,3.06,0.8,37.0,45.8,451.0,10.4,4.23,0.066,True,True,True,True,risk-002787,set-fuel,1,HIGH,87,CRITICAL_OPERATION_ERROR
synthetic-00626,operator-23,SC-06,3,start-N1,set-fuel-45,8.71,8.95,0,78.4,95.9,223.8,2.0,0.47,73.1,43.4,406.4,7.1,4.66,0.074,True,True,True,True,risk-004227,set-fuel,1,HIGH,71,PARAMETER_ERROR
synthetic-00279,operator-07,SC-14,2,set-fuel-70,open-L1,10.66,19.57,0,54.9,42.3,231.1,2.14,0.56,59.7,39.6,342.8,6.4,4.84,0.048,True,True,True,True,risk-008390,start-N1,1,MEDIUM,55,SEQUENCE_ERROR
synthetic-00735,operator-08,SC-12,6,start-N1,restore-utility-or-prepare-equipment,19.74,15.43,0,46.8,97.2,723.4,4.34,0.76,38.2,50.1,303.6,5.3,2.25,0.115,True,True,False,True,risk-000860,start-N1,1,MEDIUM,67,EQUIPMENT_NOT_READY
synthetic-00806,operator-20,SC-07,1,check-alarm,protect-K1,23.13,19.67,0,73.6,96.2,652.6,3.0,0.69,11.0,37.6,331.9,9.0,2.46,0.054,True,True,True,True,risk-005276,set-fuel,1,HIGH,88,CRITICAL_OPERATION_ERROR
synthetic-00272,operator-02,SC-08,6,set-fuel-70,open-L1,5.62,14.95,0,37.7,41.4,133.1,1.82,0.7,53.2,58.8,320.4,8.4,4.59,0.077,True,True,True,True,risk-003350,start-N1,1,HIGH,72,SEQUENCE_ERROR
synthetic-00294,operator-21,SC-14,4,drain-E1,open-L1,11.8,20.99,0,44.5,17.3,35.1,2.21,0.75,57.0,74.4,346.4,8.9,3.09,0.104,True,True,True,True,risk-003683,start-N1,1,MEDIUM,58,SEQUENCE_ERROR
synthetic-00432,operator-19,SC-08,4,alarm-K1-high,restore-cooling,103.48,86.86,0,29.1,97.4,810.3,4.13,0.67,72.5,61.8,324.7,6.0,2.32,0.136,True,True,False,True,risk-003484,start-N1,1,MEDIUM,57,RESPONSE_TIME_ERROR
synthetic-00396,operator-18,SC-13,12,alarm-K1-high,protect-K1,131.4,96.48,0,22.7,98.1,699.8,4.42,0.49,68.4,73.3,301.4,11.8,3.23,0.072,True,True,False,True,risk-000167,start-N1,1,HIGH,81,RESPONSE_TIME_ERROR
synthetic-00322,operator-23,SC-01,9,check-alarm,open-L1,23.94,5.85,0,32.2,69.5,116.6,3.07,0.73,59.8,73.5,350.8,6.9,2.9,0.126,True,True,True,True,risk-003676,start-N1,1,HIGH,78,SEQUENCE_ERROR
synthetic-00330,operator-07,SC-10,7,set-fuel-70,open-L1,19.93,23.96,0,51.2,28.9,174.4,2.7,0.66,44.9,64.5,340.5,0.9,4.61,0.149,True,True,True,True,risk-008379,start-N1,1,MEDIUM,62,SEQUENCE_ERROR
synthetic-00802,operator-23,SC-05,12,check-alarm,protect-K2,26.6,21.58,0,60.7,96.5,642.0,3.01,0.72,38.9,5.2,335.6,9.5,3.49,0.1,True,True,True,True,risk-007542,set-fuel,1,HIGH,91,CRITICAL_OPERATION_ERROR
synthetic-00403,operator-01,SC-08,9,alarm-K1-high,cut-fuel,86.95,129.45,0,38.8,98.4,868.1,3.2,0.53,44.5,41.1,305.4,29.3,4.31,0.075,True,True,True,False,risk-008066,set-fuel,1,MEDIUM,65,RESPONSE_TIME_ERROR
synthetic-00532,operator-10,SC-13,10,set-fuel-45,check-process-state,19.01,1.13,4,46.9,96.4,779.9,2.3,0.52,54.6,42.1,331.0,9.7,4.29,0.129,True,True,True,True,risk-003948,set-fuel-45,1,MEDIUM,36,DUPLICATE_COMMAND
synthetic-00258,operator-08,SC-05,12,check-alarm,open-L1,23.21,9.32,0,48.6,32.0,39.2,2.47,0.48,66.8,38.2,325.2,2.7,3.59,0.077,True,True,True,True,risk-000614,start-N1,1,HIGH,79,SEQUENCE_ERROR
synthetic-00255,operator-19,SC-13,12,drain-E1,open-L1,8.47,21.95,0,45.9,80.2,162.4,2.6,0.68,35.0,66.0,309.7,3.0,2.52,0.139,True,True,True,True,risk-005215,start-N1,1,HIGH,74,SEQUENCE_ERROR
synthetic-00813,operator-06,SC-13,9,check-alarm,protect-K1,27.69,14.08,0,77.1,98.2,466.5,2.03,0.59,13.7,58.8,348.2,7.7,4.38,0.138,True,True,True,True,risk-005279,set-fuel,1,HIGH,87,CRITICAL_OPERATION_ERROR
synthetic-00733,operator-01,SC-06,3,set-fuel-45,restore-utility-or-prepare-equipment,19.59,11.6,0,23.4,99.4,542.5,3.03,0.63,42.7,60.7,312.0,5.6,2.64,0.076,True,False,True,True,risk-000421,start-N1,1,MEDIUM,65,EQUIPMENT_NOT_READY
synthetic-00113,operator-13,SC-14,7,open-L1,restore-cooling,22.71,23.85,0,51.4,99.3,483.0,2.33,0.63,44.6,52.4,310.9,4.3,3.33,0.15,True,True,True,True,risk-009387,restore-cooling,0,LOW,6,NORMAL
synthetic-00372,operator-21,SC-14,8,alarm-K1-high,restore-cooling,134.14,93.18,0,20.2,99.0,847.5,2.52,0.52,64.6,66.8,353.4,23.0,2.21,0.134,True,True,True,False,risk-004591,start-N2,1,MEDIUM,61,RESPONSE_TIME_ERROR
synthetic-00780,operator-03,SC-10,7,open-L1,protect-K1,9.57,5.16,0,67.3,95.4,660.4,1.86,0.77,6.0,38.0,333.0,3.5,2.09,0.086,True,True,True,True,risk-001787,set-fuel,1,HIGH,92,CRITICAL_OPERATION_ERROR
synthetic-00796,operator-03,SC-01,8,check-alarm,restore-ventilation,10.41,7.65,0,27.2,98.9,756.1,2.97,0.6,72.9,49.4,316.5,19.3,3.73,0.147,True,True,True,False,risk-007112,disable-ventilation,1,HIGH,94,CRITICAL_OPERATION_ERROR
synthetic-00764,operator-07,SC-12,1,open-L1,restore-circulation-and-reduce-fuel,6.07,7.05,0,91.7,96.5,45.4,2.67,0.51,39.2,48.1,442.8,5.1,3.43,0.136,True,True,True,True,risk-002902,set-fuel,1,HIGH,88,CRITICAL_OPERATION_ERROR
